modifieddate,nombre,sinopsis,emision,fechasalida,image,categoria__nombre,genero__nombre,cantidadepisodios,promedio_puntuaciones_imdb,linkimdb
2024-07-07,REC,"Fumihiko Matsumaru is an average salaryman with no girlfriend. He invited his colleague Miss Tanaka to a movie but was stood up. Right at the time he was about to toss tickets into a trash can, a cute girl appeared and asked him not to waste those two tickets. After movie and din... ",False,2006-02-02,portada/2022/11/25/REC_MID.jpg,Anime,Ecchi,9,6.9,https://www.imdb.com/title/tt0807834/
2024-07-07,REC,"Fumihiko Matsumaru is an average salaryman with no girlfriend. He invited his colleague Miss Tanaka to a movie but was stood up. Right at the time he was about to toss tickets into a trash can, a cute girl appeared and asked him not to waste those two tickets. After movie and din... ",False,2006-02-02,portada/2022/11/25/REC_MID.jpg,Anime,Romance,9,6.9,https://www.imdb.com/title/tt0807834/
2024-07-07,REC,"Fumihiko Matsumaru is an average salaryman with no girlfriend. He invited his colleague Miss Tanaka to a movie but was stood up. Right at the time he was about to toss tickets into a trash can, a cute girl appeared and asked him not to waste those two tickets. After movie and din... ",False,2006-02-02,portada/2022/11/25/REC_MID.jpg,Anime,Drama,9,6.9,https://www.imdb.com/title/tt0807834/
2024-07-07,Reikenzan,"A comet falling will bring about a great calamity, and in order to choose a child fated by the falling comet, the family of the ""Reiken"" clan with a long storied history is once again resuming its entrance examination process to find disciples. The protagonist Lu Wang, who posses... ",False,2016-01-01,portada/2022/11/25/Reikenzan_MID.jpg,Anime,Magic,24,6.5,https://www.imdb.com/title/tt5330582/
2024-07-07,Reikenzan,"A comet falling will bring about a great calamity, and in order to choose a child fated by the falling comet, the family of the ""Reiken"" clan with a long storied history is once again resuming its entrance examination process to find disciples. The protagonist Lu Wang, who posses... ",False,2016-01-01,portada/2022/11/25/Reikenzan_MID.jpg,Anime,Fantasy,24,6.5,https://www.imdb.com/title/tt5330582/
2024-07-07,Reikenzan,"A comet falling will bring about a great calamity, and in order to choose a child fated by the falling comet, the family of the ""Reiken"" clan with a long storied history is once again resuming its entrance examination process to find disciples. The protagonist Lu Wang, who posses... ",False,2016-01-01,portada/2022/11/25/Reikenzan_MID.jpg,Anime,Comedy,24,6.5,https://www.imdb.com/title/tt5330582/
2024-07-07,ReLife,"A young man, failing at life, is offered a new start as a 10 years younger high-school student.",False,2016-07-01,portada/2022/11/25/Relife_MID.jpg,Anime,School,13,7.8,https://www.imdb.com/title/tt5857720/
2024-07-07,ReLife,"A young man, failing at life, is offered a new start as a 10 years younger high-school student.",False,2016-07-01,portada/2022/11/25/Relife_MID.jpg,Anime,Romance,13,7.8,https://www.imdb.com/title/tt5857720/
2024-07-07,ReLife,"A young man, failing at life, is offered a new start as a 10 years younger high-school student.",False,2016-07-01,portada/2022/11/25/Relife_MID.jpg,Anime,Life stories,13,7.8,https://www.imdb.com/title/tt5857720/
2024-07-07,Renai Boukun,"When a strange girl named Guri comes knocking at Seiji Aino's door, he quickly finds himself thrust into a world of romantic troubles.",False,2017-04-01,portada/2022/11/25/Renai_Boukun_MID.jpg,Anime,Comedy,12,6.3,https://www.imdb.com/title/tt6777074/
2024-07-07,Renai Boukun,"When a strange girl named Guri comes knocking at Seiji Aino's door, he quickly finds himself thrust into a world of romantic troubles.",False,2017-04-01,portada/2022/11/25/Renai_Boukun_MID.jpg,Anime,School,12,6.3,https://www.imdb.com/title/tt6777074/
2024-07-07,Renai Boukun,"When a strange girl named Guri comes knocking at Seiji Aino's door, he quickly finds himself thrust into a world of romantic troubles.",False,2017-04-01,portada/2022/11/25/Renai_Boukun_MID.jpg,Anime,Supernatural,12,6.3,https://www.imdb.com/title/tt6777074/
2024-07-07,Renai Boukun,"When a strange girl named Guri comes knocking at Seiji Aino's door, he quickly finds himself thrust into a world of romantic troubles.",False,2017-04-01,portada/2022/11/25/Renai_Boukun_MID.jpg,Anime,Romance,12,6.3,https://www.imdb.com/title/tt6777074/
2024-07-07,Rental Magica,"Due to his father's disappearance, Itsuki Iba has to take over the family business: a magician dispatch service. Their family employs countless magicians and other supernatural beings in order to send them out to help those who need magical assistance. As a leader, Itsuki now has to be tough, commanding, and reliable, but there's one problem, he's a coward. Also, in order to run a successful business, he must connect with his employees, which is more difficult than it seems due to his personality. But not only does he have to deal with his own employees, he also has to deal with those who threaten the family business.",False,2007-10-01,portada/2023/10/10/Rental_Magica.jpg,Anime,Mystery,24,6.7,https://www.imdb.com/title/tt1305638/
2024-07-07,Rental Magica,"Due to his father's disappearance, Itsuki Iba has to take over the family business: a magician dispatch service. Their family employs countless magicians and other supernatural beings in order to send them out to help those who need magical assistance. As a leader, Itsuki now has to be tough, commanding, and reliable, but there's one problem, he's a coward. Also, in order to run a successful business, he must connect with his employees, which is more difficult than it seems due to his personality. But not only does he have to deal with his own employees, he also has to deal with those who threaten the family business.",False,2007-10-01,portada/2023/10/10/Rental_Magica.jpg,Anime,Fantasy,24,6.7,https://www.imdb.com/title/tt1305638/
2024-07-07,Rental Magica,"Due to his father's disappearance, Itsuki Iba has to take over the family business: a magician dispatch service. Their family employs countless magicians and other supernatural beings in order to send them out to help those who need magical assistance. As a leader, Itsuki now has to be tough, commanding, and reliable, but there's one problem, he's a coward. Also, in order to run a successful business, he must connect with his employees, which is more difficult than it seems due to his personality. But not only does he have to deal with his own employees, he also has to deal with those who threaten the family business.",False,2007-10-01,portada/2023/10/10/Rental_Magica.jpg,Anime,Supernatural,24,6.7,https://www.imdb.com/title/tt1305638/
2024-07-07,RErideD Tokigoe no Derrida,"When Derrida wakes up from a 10-year cold sleep, he'll fight to survive a devastated world to keep a promise to his friend.",False,2018-09-01,portada/2022/11/25/RErideD_Tokigoe_no_Derrida_MID.jpg,Anime,Drama,12,5.8,https://www.imdb.com/title/tt10662504/
2024-07-07,RErideD Tokigoe no Derrida,"When Derrida wakes up from a 10-year cold sleep, he'll fight to survive a devastated world to keep a promise to his friend.",False,2018-09-01,portada/2022/11/25/RErideD_Tokigoe_no_Derrida_MID.jpg,Anime,Action,12,5.8,https://www.imdb.com/title/tt10662504/
2024-07-07,RErideD Tokigoe no Derrida,"When Derrida wakes up from a 10-year cold sleep, he'll fight to survive a devastated world to keep a promise to his friend.",False,2018-09-01,portada/2022/11/25/RErideD_Tokigoe_no_Derrida_MID.jpg,Anime,Science Fiction,12,5.8,https://www.imdb.com/title/tt10662504/
2024-07-07,Revenger,A vengeful samurai works with a mysterious organization to take revenge on behalf of those who have no power.,False,2023-01-05,portada/2023/05/10/Revenger_MID.jpg,Anime,Mystery,12,6.4,https://www.imdb.com/title/tt25534100/
